"region";"offence";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"All Denmark";"Nature of the offence, total";139082;147151;129248;137902;127942;130356;127704;123216;123546;121753;100875;104717;113394;104787
"All Denmark";"Criminal code, total";118827;123545;107929;107411;101354;100261;100146;95233;90109;89273;74982;73200;82994;78042
"All Denmark";"Criminal code, unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Sexual offenses, total";673;671;557;590;595;720;1048;1010;1256;1366;1728;2149;2170;2011
"All Denmark";"Incest, etc.";17;11;26;8;8;12;8;14;8;26;11;7;6;12
"All Denmark";"Rape, etc.";97;96;98;84;93;154;202;242;232;235;231;651;450;338
"All Denmark";"Heterosexual offence against a child under 12 (Repealed in 2013)";55;48;34;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Sexual offence against a child under 12 (New from 2013)";0;0;0;36;28;36;56;63;82;63;59;34;102;34
"All Denmark";"Any other kind of heterosexual offence (Repealed in 2013)";67;63;86;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Sexual offence against a child under 15 (New from 2013)";0;0;0;30;42;52;32;49;49;54;53;47;46;61
"All Denmark";"Any other kind of sexual offence (New from 2013)";0;0;0;25;20;19;42;62;84;75;62;6;10;9
"All Denmark";"Grooming";0;0;0;0;0;0;0;0;0;0;0;0;0;9
"All Denmark";"Homosexual offence against a child under 12 (Repealed in 2013)";1;3;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Any other kind of homosexual offence (Repealed in 2013)";1;3;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Offence against public decency by groping";192;138;102;120;123;180;189;196;232;201;200;218;208;194
"All Denmark";"Offence against public decency by indecent exposure";82;112;67;104;91;91;97;101;94;115;130;94;108;77
"All Denmark";"Any other kind of offence against public decency";117;94;109;122;113;140;256;190;408;314;400;674;308;469
"All Denmark";"Prostitution, etc.";44;103;35;61;77;36;166;93;67;283;582;418;932;808
"All Denmark";"Crimes of violence, total";4485;4574;3903;4289;4222;4816;5520;6759;6950;7500;6354;6594;6883;6703
"All Denmark";"Violence against public authority";691;694;686;863;898;1108;1395;1687;1622;1589;1537;1512;1725;1678
"All Denmark";"Unlawful assembly/disturbance of public order";0;32;3;11;17;24;25;26;92;36;6;41;23;36
"All Denmark";"Homicide";8;16;9;15;16;15;12;16;17;12;8;11;16;11
"All Denmark";"Attempted homicide";35;31;30;39;31;42;64;58;42;31;31;30;31;31
"All Denmark";"Coercive control etc";0;0;0;0;0;0;0;0;0;106;86;109;223;203
"All Denmark";"Common assault";2200;2319;1929;2069;1982;2236;2382;2617;2918;3075;2279;2722;2766;2633
"All Denmark";"Assault causing actual bodily harm";499;427;390;356;358;375;386;520;454;497;403;429;428;447
"All Denmark";"Particularly aggravated assault";0;1;2;3;3;3;4;2;3;0;2;5;1;4
"All Denmark";"Unprovoked assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Any other kind of intentional trespass to the person";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Causing death or bodily harm by negligence";10;7;4;2;4;4;6;13;7;8;5;5;3;6
"All Denmark";"Offences against life and limb";95;79;94;82;110;86;134;433;281;235;244;156;188;155
"All Denmark";"Offences against personal liberty";75;61;63;66;73;60;98;98;100;193;155;136;172;199
"All Denmark";"Threats";872;907;693;783;730;863;1014;1289;1414;1718;1598;1438;1307;1300
"All Denmark";"Offences against property, total";111701;116052;101775;100152;94499;92790;91499;85225;79508;77594;63610;61462;70374;66082
"All Denmark";"Forgery";528;1229;622;496;377;429;967;551;494;698;476;417;359;255
"All Denmark";"Cheque forgery";62;30;8;16;25;13;4;0;0;0;0;0;0;0
"All Denmark";"Arson";201;200;130;243;176;189;279;306;334;363;307;233;214;206
"All Denmark";"Burglary - business and community";7827;6778;5491;5188;4589;4159;3918;3598;3672;3051;2490;1672;2086;1985
"All Denmark";"Residential burglaries";13961;14906;13278;13482;11098;11218;9570;9596;8932;7437;4616;4424;4028;4487
"All Denmark";"Burglary (uninhabited buildings)";5396;5095;3805;4246;3869;3679;3349;3416;3063;2822;2453;2126;2274;2041
"All Denmark";"Theft from conveyances";10342;8358;7091;6540;6108;5687;6483;6313;6059;5047;4276;3853;3843;3647
"All Denmark";"Shoplifting, etc.";5556;5397;5393;4722;5429;5043;4227;5145;4781;4332;4458;3976;5608;6448
"All Denmark";"Other kinds of theft";33029;37150;34647;33607;29057;27370;28802;23493;17566;17329;9835;12842;14055;12753
"All Denmark";"Theft of/taking vehicle without the owners consent (TWOC)";3897;3252;2581;2324;2187;2141;2176;2076;1782;1764;1446;1282;1582;1403
"All Denmark";"Theft of/taking moped without the owners consent (TWOC)";781;725;561;496;348;297;234;233;202;151;192;123;103;114
"All Denmark";"Theft of/taking bicycle without the owners consent (TWOC)";15608;17484;14695;14626;13387;12887;11251;11067;11104;11365;10245;9950;11473;10415
"All Denmark";"Theft of/taking other objects without the owners consent (TWOC)";2302;2235;1879;1963;1674;1748;1516;1427;1770;1316;1285;1022;1163;1003
"All Denmark";"Theft by finding";192;161;163;191;159;144;134;139;149;193;206;129;152;130
"All Denmark";"Embezzlement";119;112;217;117;468;143;228;330;846;590;469;94;268;386
"All Denmark";"Fraud";2588;3440;2798;3092;5693;8547;10282;9073;10319;12045;11399;10419;14444;13527
"All Denmark";"Fraud by cheque";61;28;16;14;3;13;0;0;0;1;1;0;0;0
"All Denmark";"Fraud by abuse of position";15;54;10;162;17;115;280;267;79;348;107;45;135;63
"All Denmark";"Blackmail and usury";71;63;66;67;72;116;123;177;817;606;767;467;530;726
"All Denmark";"Fraud against creditors";52;31;29;35;21;40;22;19;24;21;39;35;25;37
"All Denmark";"Handling stolen goods";477;446;516;715;972;239;237;612;251;277;799;393;1321;649
"All Denmark";"Robbery";1007;925;841;838;638;587;580;595;482;513;365;347;356;332
"All Denmark";"Aggravated tax evasion etc.";67;91;74;96;112;63;188;80;70;94;133;120;310;341
"All Denmark";"Malicious damage to property";7480;7798;6774;6700;6588;6532;5799;5962;5645;5889;6319;5344;5825;4883
"All Denmark";"Receiving stolen goods by negligence";10;3;4;9;4;7;2;3;1;8;1;0;1;1
"All Denmark";"Offence against and infringement of property";72;61;86;167;1428;1384;848;747;1066;1334;926;2149;219;250
"All Denmark";"Other offences, total";1968;2248;1694;2380;2038;1935;2079;2239;2395;2813;3290;2995;3567;3246
"All Denmark";"Offences against public authority, etc.";501;552;486;525;575;466;405;613;607;744;679;618;660;610
"All Denmark";"Offences by public servants";11;17;6;39;20;30;29;137;49;60;205;98;82;76
"All Denmark";"Perjury";27;31;17;25;23;36;19;21;25;26;33;30;22;19
"All Denmark";"Any other kind of false statement";296;316;327;348;255;284;269;281;278;272;300;228;229;229
"All Denmark";"Offences concerning money and evidence";228;241;188;529;407;408;355;221;279;233;349;290;444;247
"All Denmark";"Trafficking of drugs, etc.";257;206;215;265;220;228;224;206;273;273;338;262;349;333
"All Denmark";"Smuggling etc. of drugs";32;34;43;53;43;19;27;21;42;34;22;45;49;43
"All Denmark";"General public offences etc.";142;145;102;75;90;60;152;139;132;103;115;77;75;73
"All Denmark";"Illegal trade, etc.";14;12;8;16;13;18;97;36;18;13;8;7;7;15
"All Denmark";"Family relation offences";11;16;22;20;18;14;13;19;31;22;13;11;19;21
"All Denmark";"Involuntary manslaughter etc. in connection with traffic accident";57;80;53;50;45;42;68;62;59;51;60;51;48;71
"All Denmark";"Non-molestation order (Repealed in 2012)";141;421;3;0;0;0;0;0;0;0;0;0;0;0
"All Denmark";"Invasion of privacy and defamation";251;177;224;435;329;330;421;483;602;982;1168;1278;1583;1509
"All Denmark";"Special acts, total";20255;23606;21319;30491;26588;30095;27558;27983;33437;32480;25893;31517;30400;26745
"All Denmark";"Euphoriants Act";4525;5182;5132;6090;5489;5439;5474;6141;6682;7467;6589;5746;6643;5447
"All Denmark";"The Offensive Weapons Act";1566;1659;1774;1708;1795;2185;2638;2142;4683;3434;3000;2414;2053;2757
"All Denmark";"Tax legislation and fiscal acts, etc.";394;461;1203;1280;1008;955;989;813;936;1219;1531;1661;1789;1725
"All Denmark";"Other special acts in criminal law";6977;9226;6762;13223;11689;14860;11256;12673;13365;12461;8109;15011;11211;9702
"All Denmark";"Health and social security legislation";587;600;511;460;504;524;433;460;376;545;1605;763;591;664
"All Denmark";"Building and housing legislation";51;26;30;29;24;33;32;25;34;28;26;32;60;61
"All Denmark";"The environmental protection act";832;760;712;778;695;486;558;514;998;1005;1017;999;3508;1676
"All Denmark";"Legislation on animals, hunting, etc.";1677;1763;1546;1272;1173;1069;992;1023;1661;1200;1312;1177;908;685
"All Denmark";"Legislation on employment, transport, etc.";1942;2236;1793;3674;2508;2467;2666;1683;2879;3193;1978;2435;1652;2280
"All Denmark";"The Companies Act";74;77;103;90;79;192;128;117;83;268;295;233;250;302
"All Denmark";"Legislation on the national defence";433;258;581;795;732;1207;1691;1603;1003;911;62;450;991;725
"All Denmark";"Legislation applying to public utilities";111;172;46;84;56;66;38;33;23;25;29;31;87;22
"All Denmark";"Legislation on gambling, licencing, trade";1069;1173;1112;985;815;583;627;682;671;654;268;495;531;488
"All Denmark";"Any other special legislation";17;13;14;23;21;29;36;74;43;70;72;70;126;211
"All Denmark";"Special legislation, unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
